Geneid	pOka_M1_2
57190	3813
56181	824
79000	70
164091	141
3925	3895
5051	235
2134	3
7780	0
84676	0
149420	112
79927	0
51042	315
10256	0
378807	0
64793	309
83442	3839
91544	568
1043	0
55057	24
257101	0
79727	0
79947	483
3151	4334
6195	737
8289	1336
55650	387
84243	444
2810	40
54707	387
63906	189
8431	0
10726	2439
126695	0
388610	183
115572	3
6548	823
23038	1088
84065	607
84958	1
9064	239
8547	0
388611	0
2827	65
10163	3773
27245	1766
2268	1
2537	620
199870	117
23673	689
5511	778
9473	38
6118	769
27293	68
55113	293
2140	510
5724	11
22826	2399
93974	1653
83667	561
54797	286
65979	622
1104	1423
54952	299
115273	13
6883	365
10691	149
51441	1487
4985	0
2035	631
399474	8
6429	982
51102	376
10076	60
4146	7
7805	5
9672	1985
9698	2312
79570	2
9410	716
51538	548
2170	20
347735	1690
64129	0
3061	0
553115	1105
1307	11
576	310
90853	817
8073	2769
10657	2643
55116	163
23633	1026
200081	1316
79140	147
55721	110
149069	42
56063	112
8668	3711
84734	6
3932	0
3065	1162
65108	966
100128071	35
81629	113
55108	1416
728116	3
653121	202
339487	247
5928	2369
81493	141
57648	2039
8565	1458
64766	318
252995	4
3208	0
113452	699
127544	290
204	3590
113451	104
55223	116
149076	319
127550	0
1912	2004
7579	134
114784	0
127540	0
84970	0
2709	1
127534	0
2707	0
2701	0
113444	559
58512	2
100506144	305
9204	333
79830	263
6421	2990
9202	1397
79932	2043
23154	874
339488	10
5690	2310
127703	429
63967	272
192670	334
26523	567
192669	124
27285	8
54936	664
1296	70
27095	1046
55700	2142
9967	2538
79729	239
55194	346
83931	460
84967	335
127700	130
64960	1091
1441	0
2899	0
80149	278
64769	779
79753	354
7802	215
29889	937
284654	0
54955	314
55143	590
284656	8
149175	735
79693	268
127687	600
4520	395
3633	325
10946	1949
2275	375
51118	511
5453	1
64121	604
26292	466
81025	14
54933	62
79647	1171
4725	1987
23499	8999
643314	261
353500	72
8761	3308
26508	22
84618	0
51440	0
10450	619
656	107
64064	4
54802	316
4610	20
84879	27
10487	6452
5538	2676
6018	704
127391	0
10269	1066
1298	154
64744	430
65243	37
339559	62
64789	126
127396	41
9783	88
4802	678
9132	221
163732	82
1503	581
200172	8
22955	464
100132074	45
1907	72
59269	23
2981	0
2980	0
22887	787
284716	326
84217	18
79717	718
728621	41
10465	400
4904	15516
149461	1
64175	1101
79078	134
100129924	4
374969	85
114625	187
51058	191
6513	25369
440585	2
10969	987
149465	12
128218	10
149466	0
7075	3
4352	2
991	1234
64834	2067
112950	562
23334	703
81888	0
5792	7332
9682	743
6487	263
9048	9
9670	744
1802	430
533	1283
8704	1011
149473	178
6536	26
128209	0
55929	602
79033	1123
55182	906
79639	90
339541	34
11004	862
6202	21486
6210	14157
266675	7
1263	398
343521	18
149478	129
8643	14
8891	290
79654	1065
7389	1569
57643	4
84842	10
4595	109
114034	203
10420	45
25974	148
5052	7445
10327	1194
4678	1471
149483	30
60313	1106
51249	804
3652	119
23139	970
8503	263
10103	60
55624	2050
541468	27
8438	255
10489	1406
7388	1790
387338	372
2166	15
127343	0
148930	0
8569	385
148932	154
64756	996
374973	0
9813	1781
1580	0
1579	0
260293	0
199974	0
284541	0
10158	54
6886	0
6491	355
51727	2328
2301	0
2306	23
388630	21
200010	9
54558	205
84871	4
79656	65
1996	0
63950	1
11124	801
1031	459
284546	0
26994	1559
22996	46
2060	916
114883	2358
4898	2181
5865	283
51060	1356
112970	202
91408	1082
9372	389
200014	741
4998	164
84950	622
23318	714
2882	1
348378	0
65260	300
79699	791
440590	4
55268	440
6342	2700
127435	0
6512	50
1376	680
54987	610
4116	275
7804	723
63948	0
148979	40
55706	1017
54432	401
1733	1
51668	397
115353	727
388633	0
9528	3424
127428	224
200008	0
606495	169
51253	2090
23648	646
26027	43
338094	2
374977	0
7268	420
25973	174
55001	0
163747	0
1718	7860
199964	0
7809	0
255738	6
23358	1156
8613	334
5563	569
199920	4
731	0
732	1
1600	41
115209	264
4070	0
114803	803
3725	3071
55277	185
51361	373
1573	75
127795	0
4774	407
83941	481
10207	322
54596	0
163782	1
7398	846
85440	1203
27329	0
84938	213
27022	0
29929	176
23421	369
84455	215
5236	1911
4919	506
148581	1
57685	181
55225	555
3716	3967
205	1940
9829	229
54741	1995
3953	217
5142	25
84251	20
200132	0
10022	1
79819	75
57708	1156
23169	205
400757	0
149233	0
3595	5
26135	6943
1647	1184
55970	6242
9077	2
79971	1069
6121	1
55635	734
57554	80
55631	438
9295	2847
81573	588
11147	208
1491	94
5733	5
9406	1883
257194	158
127255	23
100526835	0
8790	184
51086	0
127254	11
1429	669
127253	475
431707	0
204962	619
34	754
5876	935
4438	9
127247	0
256435	179
81849	46
10026	887
26289	154
26009	866
23032	1037
374986	376
91624	407
8880	1775
11080	670
54810	0
5737	5
10964	57
10561	85
64123	0
23266	955
79739	240
5567	585
148418	15
58511	0
80135	585
2787	1351
100505741	8
1486	557
117178	681
23566	1
255231	85
55283	270
126820	49
84144	89
148423	294
8915	444
23576	2587
3491	3791
54680	351
255631	3
57489	197
9635	0
1179	0
22802	0
51100	1305
9403	2999
9653	1001
101927844	0
8543	842
5586	1148
2959	527
56267	432
494115	244
2635	323
2633	255
2634	79
388646	1
115361	13
115362	6
163351	0
23507	183
84230	194
55144	857
284695	1122
343472	0
84146	720
164045	3
8317	240
7049	643
676	1
253152	184
646817	2
284697	8
23285	72
388649	0
11146	119
79871	251
2672	2
7813	238
6125	20419
388650	586
22823	336
50999	1838
343099	219
1810	828
54874	927
8412	978
30836	831
2730	444
24	3
9411	2747
5825	843
2152	3344
126969	76
1266	14120
199857	162
148534	493
100527978	21
25950	88
6129	890
58155	241
1806	441
51375	600
163404	0
9890	122
54873	1288
391059	42
178	492
23443	433
64645	1017
163786	173
54482	246
127495	15
1629	331
8634	411
8556	88
54112	2
7412	0
2135	467
148867	500
51611	709
1901	43
118427	0
1301	9076
101928436	0
55599	233
280	61
279	2
276	0
278	0
277	0
55170	602
22854	261
10451	0
29957	1177
148545	0
653149	0
284611	259
113802	0
55119	805
163479	2
6814	612
254268	2
29899	391
23155	598
22911	500
6884	133
56900	533
127003	1
57535	83
6301	2866
1952	1038
84722	474
343263	1
6272	3915
5686	1253
284612	6
127002	80
284613	248
57463	149
83873	0
2773	1660
2780	7
271	1041
2948	506
2946	378
2944	468
2949	0
2947	37
79574	0
1435	1841
10768	3691
85369	511
257	31
164153	0
388662	46
3749	36
64783	161
9122	84
10542	1238
84432	2
3744	0
3737	0
3738	0
963	0
55791	393
128338	611
10390	410
79961	184
1117	0
27159	0
128344	1
5016	35
79084	597
515	2969
128346	19
57413	0
140	0
5906	934
55924	124
11218	421
3752	68
643355	17
55917	850
7482	160
54879	426
829	3707
4343	990
389	3731
333926	10
284467	2
6566	2723
9860	153
260425	368
10745	416
54665	250
26191	3
440603	0
10717	184
64858	294
204851	931
56944	1
148281	0
51592	829
10286	635
163259	3
270	0
4893	1107
7812	11447
80143	521
6847	0
7252	0
10100	156
4803	273
81839	675
845	0
4808	0
55356	6
126868	1
476	10344
965	437
3321	185
388667	0
914	0
5738	210
9398	1
8458	562
80263	108
79679	0
10905	613
54855	12
54834	231
10885	1070
200162	8
6913	0
10352	265
51179	0
3284	0
3283	0
90874	85
26227	2918
3158	0
83998	0
343505	0
11085	0
4853	4853
653820	89
2210	1
647135	475
644591	1
728833	0
554282	0
100288142	19
653598	0
653505	0
400818	474
9659	647
9554	1544
388677	692
100132406	6
25832	22
148738	0
10628	2458
84265	257
284615	77
128077	494
9939	1309
8799	489
8515	12
148741	1
10401	515
200035	66
10623	452
27246	302
11126	1
5174	6
653519	61
200030	73
149013	40
5565	469
2330	11
9557	582
607	450
51205	364
2702	0
2703	0
51463	13
728841	198
284565	326
728945	0
645142	0
730262	0
440689	4
2209	0
653604	3
8370	0
554313	0
8337	0
723790	0
126961	0
333932	0
8349	80
8338	9
317772	1
51027	137
9900	599
10262	1339
10903	271
56957	595
11311	704
51177	767
81611	1254
23632	5
51107	2651
79630	9
148523	144
54460	1275
9129	659
23248	988
80222	763
1893	3020
54507	901
4170	3469
2029	2308
55204	482
84072	0
1520	16
1513	1490
405	693
9869	630
29956	3034
8416	166
55793	324
58497	372
149428	7
54964	117
56882	1246
10962	706
126626	55
10500	98
100534012	0
79626	0
388695	109
79005	5
29765	8
6944	863
8394	1590
5710	1761
57592	729
5298	1445
5993	936
8991	10
5692	3098
23126	1085
57530	131
7286	911
81609	404
11189	2
284485	1
65005	832
51686	50
11022	274
339398	3
6097	109
100191040	8
284486	6
117145	237
6281	6286
6282	1558
100131107	0
126637	2
7062	4
126638	0
388697	78
2312	484
388698	17
49860	1
254910	0
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	1
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	53
163778	0
6698	0
6707	0
6699	0
6703	0
6700	0
6701	0
6704	0
6705	0
6706	0
149018	0
574414	0
4014	0
114771	0
57115	0
6280	0
6283	0
6279	0
338324	0
645922	0
6278	0
6277	24183
6276	5
6275	192
6274	625
6273	699
140576	1191
57402	0
6284	542
6271	11
26097	750
23557	622
3608	3588
4881	15
65123	1709
11000	158
57459	607
9909	769
200186	622
27173	3364
148327	179
10899	1640
5872	2096
91181	9
7170	5829
388701	2
25912	3798
9898	3412
10456	1209
89872	0
57198	1121
3570	58
126669	0
126668	0
55585	1352
1141	1
103	3215
3782	3
10654	340
57326	1950
90780	712
6464	6183
1163	772
80308	425
55891	1
51043	893
127579	1
149095	6
8751	6039
1945	147
1944	144
1942	160
55974	652
54344	339
200185	1088
80128	185
4582	121
7059	441
4580	529
2629	3533
10712	1272
10067	1467
1196	635
57657	143
5313	0
2224	3689
284618	7
23623	666
55870	1586
55154	430
55249	1047
7818	1482
54856	749
23208	1632
6016	429
22889	729
339403	3
9181	1282
6746	4259
56893	1277
28956	540
57111	0
92312	355
4000	8999
64218	217
9673	707
100527963	0
11243	451
632	1
79957	110
23381	1809
84283	111
112770	2251
391104	0
7203	5236
128229	16
57127	0
10485	0
4209	784
128239	1290
164118	0
128240	1715
54865	470
60484	0
63827	54
10763	14
1382	54
81875	569
51093	335
79590	1083
3068	6355
5546	1296
9047	24
4914	6
3645	1
375033	228
149499	2
9826	781
440695	0
2117	126
83416	0
83417	0
115352	0
79368	0
115350	1
922	0
55243	2177
912	1
909	0
911	1
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	2
81448	0
391114	0
128371	0
128372	0
81442	0
4332	1
149628	1
107181291	0
3428	286
9447	0
57863	0
2532	0
2205	0
441911	2
26476	0
127385	0
325	0
1401	0
54935	890
343413	0
56833	6
284677	18
391123	16
25790	16
8407	16133
57549	0
89886	0
93183	271
3766	3
3765	1
93185	493
477	12
480	2
844	1
8682	6528
50717	1790
5824	1347
1314	4547
23385	4416
4807	3
57216	1
114836	0
8832	0
6504	0
962	1
57823	459
4063	0
51744	0
55600	1
142683	0
50848	970
100131187	252
7391	511
257106	19
81607	4
126823	114
5202	516
4817	387
9191	456
51506	900
27005	358
5498	303
8703	650
9507	2
4720	1827
2207	4
336	0
84134	231
9970	3
654790	0
4359	32
6391	1532
257177	78
2212	19
3310	7
2214	0
2213	0
9103	0
2215	0
84824	5
127943	18
11266	288
22926	1545
25903	7
9722	93
284680	6
400793	292
117157	0
127933	2036
6675	1083
4921	867
51478	444
339512	18
5999	19
8490	84
83540	437
5087	336
4009	0
6258	0
440699	0
4259	1780
223	1489
54499	1770
7371	896
149297	1
57645	835
117143	216
387597	0
84944	0
10223	0
92235	0
5451	293
919	3
8804	1308
92241	0
9019	1250
55811	6
25874	712
55827	1489
23432	306
261726	719
375035	33
9095	35
6846	0
6375	0
1805	0
481	2537
29922	373
8548	343
57821	111
10560	745
2153	1
6403	0
6402	1
6401	1
92342	91
55732	241
57147	206
22920	709
149281	0
92344	293
5396	212
80133	0
2328	0
2327	0
2326	0
2329	51
23215	3135
4653	0
8674	186
51603	637
26052	31
92346	0
5279	374
51430	1039
356	0
8995	12
7292	14
9588	4770
284525	4
339416	19
730159	1
27252	407
91687	137
55157	630
84614	25
462	4
149041	381
9910	297
9293	0
27101	1527
63931	514
63923	0
9674	1
7143	0
64326	507
60676	123
460	94
57795	5
89866	30
9462	830
84066	0
55103	726
9068	3
9917	892
64222	323
27	6305
6646	1285
126859	3
7827	0
163589	1
148753	0
163590	573
26092	940
9857	813
5768	10780
89884	54
84320	541
9213	1007
57710	16
10228	712
3140	569
51278	1322
777	0
127665	1
2752	1248
127670	0
353299	0
6041	62
6004	0
85397	0
80896	0
1660	3809
81626	0
3915	6055
3918	37
23057	104
9887	1275
4688	0
10092	2677
23179	1207
403314	0
23127	104
116461	530
81563	325
80267	555
116496	4
6045	322
81627	365
54823	94
10625	2468
83872	1318
10216	3
7175	2879
54953	431
10896	2
5132	2
5743	0
5321	147
339479	0
64407	0
431704	0
5996	0
6003	0
5997	36
51377	574
6738	306
51022	142
79577	741
8707	0
343450	165
3075	159
10878	0
3078	2
10877	0
3080	0
81494	0
2165	0
259266	1301
360023	362
23418	0
163486	484
388722	31
56956	0
140609	653
127124	0
5788	0
2494	0
23528	490
9928	359
83479	183
23271	1076
2848	0
55765	1
23046	131
779	0
647219	0
252839	1809
91156	9
5317	0
7139	0
3898	0
7135	0
23612	2275
1465	358
89796	1744
55705	2443
149345	684
25802	167
10440	983
6051	2225
1999	516
9283	8
127829	1099
5778	1
59352	1
29089	529
4660	282
127833	5
10765	1501
5877	215
59349	631
51094	1862
51706	606
92703	747
8497	401
4656	0
134	464
4608	0
1116	54
1118	1
7832	899
2331	0
5549	5
26254	2
493	5653
54900	5
9877	2141
100381270	212
6635	1045
9580	386
55224	122
5972	0
3814	0
127845	5
22874	498
84919	721
5287	160
4194	326
10446	0
23114	1866
6900	0
388730	15
5929	449
25778	572
9911	197
81788	138
55220	0
93273	0
5129	3115
148808	30
2005	552
85414	151
64710	4018
8934	826
254428	780
148811	0
115019	1
729533	52
553	0
440712	0
1510	0
653464	38
23380	773
9641	174
83593	113
1939	1229
8444	345
9261	1205
3586	0
29949	0
50604	0
11009	0
9214	5
5284	0
83953	1
79098	212
55432	710
5208	800
725	4
722	2
1604	1495
1380	0
1378	0
1379	0
4179	3634
947	3
5362	49
642587	0
57172	6
3914	566
50486	0
3290	3
80342	0
148304	109
3664	1
27042	499
255928	111
56256	88
55733	225
3756	14
55758	624
7188	175
343035	0
7779	319
4751	444
9926	451
25896	347
51514	804
5525	790
55248	306
29937	1433
467	187
149647	0
55509	11
25936	501
128387	192
149643	0
28982	288
79805	25
90806	261
26750	428
5629	0
56950	505
5784	970
1063	2518
3776	63
51133	1025
7399	15
2104	14
55105	258
128153	18
51018	301
7042	2869
127018	498
55532	3
2058	2763
10380	489
55699	2525
25782	897
4139	216
79762	298
54996	230
64757	553
3142	21
11221	525
79802	7
9015	90
375056	1368
64853	743
148362	805
400823	4
84976	141
7100	0
55061	0
164127	0
388743	1
824	11253
7159	1664
23219	616
8560	1579
4931	380
29097	886
80232	1808
149111	30
127602	149
3930	1044
55740	2084
6726	3113
2052	1096
9725	605
10637	2
29920	846
7044	1
163859	212
3020	3634
64746	1097
83881	0
286826	159
142	2245
375057	0
3707	1141
5664	185
56997	369
8476	773
339500	109
65094	402
116841	539
339501	0
7483	64
89780	1
375	5789
79169	277
128308	462
2987	2351
57165	64
200205	151
84033	1544
81559	675
51127	12
8290	0
92815	283
128312	8
149603	3969
100129094	1
58480	7
5867	584
10638	0
126731	381
58	1
55746	960
23456	341
27097	327
9816	219
2590	5746
79605	0
22796	379
183	14
10753	0
84886	332
79573	222
64801	393
375061	0
440730	3
149373	0
128061	180
8443	735
149371	284
83932	263
54583	1539
7257	784
27185	121
57568	46
54627	83
84284	809
80003	482
84451	180
3775	78
148641	22
388753	215
6894	355
359948	1753
9804	5087
23029	560
51742	750
9453	577
6905	535
148789	429
2786	15
1130	943
4811	575
7107	316
56605	87
128178	12
3964	1108
55127	1141
88	0
4548	938
645745	0
6262	53
57829	0
1131	46
56776	199
64388	0
6000	116
2271	1590
8564	201
23596	377
1122	662
128025	1
9156	348
441925	0
440738	5
200150	60
9859	1496
10806	359
10000	1195
10472	506
200159	1
159	890
257044	10
51029	771
116228	1047
3192	7126
84288	37
55083	1
64754	352
64216	274
163882	469
51097	1384
25909	1075
57116	40
93474	58
79862	74
388759	14
7678	89
317705	0
84838	379
114548	0
127623	0
441932	0
148823	0
81472	0
81470	0
81469	0
441933	0
343169	0
26188	0
284532	0
391189	0
25893	378
343171	18
343172	2
284521	0
391190	0
391191	0
81466	0
26246	0
391192	0
127059	0
391194	0
127062	0
26245	3
391195	0
127064	0
391196	0
127066	0
127074	0
254879	0
26696	0
401992	0
343173	0
401993	0
391211	0
343563	0
127068	0
127069	0
127077	0
403244	0
403239	0
401994	0
646627	0
80851	732
79894	586
55657	401
267002	95
347688	1
10771	1438
22982	761
23185	1294
23560	988
91734	42
3422	2258
22884	398
105	0
5214	8588
10531	1424
1316	1091
83592	0
1645	1
1646	3
8644	121
1109	0
114131	0
79861	0
10276	411
51806	0
810	0
79754	456
54906	1330
2665	4796
54522	98
84893	1149
3601	71
3559	0
84991	1118
5209	1825
5588	0
57713	39
80760	0
3698	3
22944	213
509	2961
83860	260
2625	7
10659	1622
9712	411
79746	237
254427	113
26019	819
55526	467
55176	178
11164	976
8872	1413
57118	186
83643	50
10133	1877
55388	261
221044	0
5264	535
22929	1330
222389	199
8559	290
55691	1631
83641	593
441549	24
51182	578
79723	286
64421	256
644890	3
55301	2
414149	170
221060	11
10557	278
9397	864
221061	708
8516	0
80013	554
9317	960
389941	41
6251	1198
8029	56
1787	180
7431	112551
338596	2
9200	566
8027	1251
653567	3
4360	3
221074	1
783	35
221078	121
221079	281
340895	0
84898	2534
10529	790
387638	0
399726	308
387640	43
8028	836
64215	417
340900	0
100532731	0
23412	146
648	59
9576	0
5305	1697
219681	11
22921	419
256297	0
256815	25
220213	149
56243	1252
57584	1442
56952	202
219670	5
79896	117
57512	1
53904	144
2572	0
54518	2
23590	165
10006	856
22852	299
10730	2726
84930	553
91452	559
374308	0
22931	1273
283078	0
55130	43
143098	5
51322	2472
25805	1642
283080	0
84569	0
6840	101
57608	0
55149	297
1326	87
119180	0
220929	119
6935	464
94134	998
3799	3001
80314	394
79741	8
3688	19407
8829	951
56288	892
8453	708
1390	187
219771	1241
219770	2
8325	128
91074	0
100288485	0
57209	394
219749	204
7581	434
7587	463
7582	485
9790	1118
5979	2
55454	377
221002	250
53828	1
3185	4141
8187	40
220992	46
7580	170
100130539	0
6387	0
643236	0
83937	330
11067	38
220979	34
7570	291
79290	0
240	136
220972	552
93550	58
253725	555
119016	91
83849	3
9721	0
5540	2
100996758	0
195977	0
728113	3
642517	42
100133093	0
644054	0
653145	1
118738	91
5949	16
2658	0
2662	0
26095	0
143162	2
5599	477
58504	95
57705	0
474354	0
196740	243
170370	0
170371	31
118461	10
644168	540
2074	1175
267004	0
1103	14
6572	0
282966	0
55753	631
8505	390
100652748	78
4477	0
8031	3532
100287932	956
414189	207
387680	796
56624	4
259230	282
653308	8
29974	4
5592	130
23283	812
22943	1013
4153	0
65217	1
100463289	0
11130	1185
253430	279
55847	425
7321	382
7019	753
80114	277
84457	2
220965	403
220963	3
100507027	0
8030	1001
288	461
983	1460
9886	600
219623	0
219621	0
84159	1132
219790	252
22891	143
84890	992
1959	17
29982	433
221037	1162
221035	1042
29119	1
347731	0
56521	4
23411	345
26091	765
84665	4
220202	5
64081	190
3189	1991
55680	437
1763	210
8034	170
80312	47
55749	1419
219736	59
79009	562
9188	2083
26128	796
5552	0
9559	1154
6832	557
80201	4089
3098	4469
6865	7
23555	226
50674	0
219738	59
1305	0
55506	165
84883	335
219743	410
56681	1641
5464	2383
64106	0
55222	586
1979	1882
4838	0
27143	108
5551	0
140766	29
219793	0
8879	557
5092	1035
219699	13
55315	26
64072	12
414152	0
64115	657
5660	88254
9469	1277
9806	28
51008	477
119504	1190
54541	5410
54788	862
10367	1181
90550	995
170392	1
84647	0
5033	3154
25961	80
11319	668
317662	568
23234	799
51021	1317
118491	68
310	1540
118490	20
5532	725
159195	1459
58529	6
79933	1
729092	70
9632	2282
170384	429
118487	407
23053	1201
8509	404
818	770
414236	15
5328	551
7414	7398
26985	1382
132	573
23522	518
338599	0
51207	0
142891	524
7417	2835
118881	355
84858	767
83938	103
3778	2456
9231	1626
11128	731
6229	16476
57178	1633
10105	1461
219654	472
143244	95
729238	0
653509	0
729262	6
6441	1
80195	302
219348	7
311	3733
4143	4
143241	0
84332	0
84293	2050
81619	1595
387694	0
10718	125
27069	3931
387695	0
92211	13
340745	0
26103	0
5995	0
54462	687
2894	5
23063	881
94233	0
11155	4
657	515
79812	3
6623	13
10974	9
119385	3
643161	1
2746	1899
54537	445
728118	14
9562	599
9060	2158
84896	900
100144748	25
5728	1314
55328	170
142910	0
8513	1
643414	0
643418	0
340654	0
118932	1
57559	137
59	1050
355	541
9023	0
3988	2530
3433	160
3437	331
439996	0
3434	342
24138	483
387700	135
53354	314
9585	915
3363	47
10556	533
27063	1086
84333	670
143279	201
5507	449
80351	1400
143282	19
9044	1229
22849	73
54708	808
3416	1131
3832	962
3087	53
54536	306
340665	0
1592	2
26509	6882
55165	1305
338557	0
5950	0
5146	9
118924	543
9211	1
159371	113
51196	890
64318	440
23232	233
3070	275
1562	0
1557	4
1559	11
1558	0
142827	1
9124	1351
10580	13
5832	1559
26123	2058
953	149
100127889	0
387707	3
54619	90
9849	269
29760	0
1791	0
93377	0
7093	3
56889	3731
118788	96
84458	460
26148	96
6585	2
84986	234
10023	42
23401	204
23223	578
5223	12359
51013	501
84287	1202
64210	1804
80019	513
26287	25
112817	183
414157	3
118812	178
55361	2939
60370	690
83742	1414
118813	483
6425	0
401647	18
55118	0
27291	216
84171	40
84795	178
3257	1543
60495	0
26507	244
2805	1090
159296	0
81894	366
57089	213
1355	759
51076	165
1244	8
23268	544
1369	0
10613	1208
1147	369
55280	403
282991	638
9033	1
6319	14174
7479	1
25956	349
4714	1235
55662	1072
5076	0
55719	649
57715	291
84545	1079
56652	314
84445	1897
79955	225
81855	2051
81621	40
3195	0
10660	0
8945	475
27343	540
25911	440
6468	600
2253	2
10360	466
10724	2292
30819	24
79591	439
79803	502
8861	1697
23082	845
9221	2469
83401	3
5309	0
8729	2397
4791	519
5662	4
79176	393
79004	1201
79946	129
79847	135
10121	2094
51684	378
81603	983
403	602
118980	168
54838	848
1586	0
119032	315
57412	323
54805	228
22978	1095
729020	2
9118	1
84108	231
6877	105
84833	926
22984	1084
51063	217
255022	0
119395	5
9148	1
9644	10
79991	299
9748	1022
1308	4
119392	71
80217	29
9446	1279
119391	190
85450	567
159686	17
22986	107
114815	0
7511	1275
120	588
4601	987
10285	462
1847	480
9126	1418
282996	0
27250	1335
92482	215
8036	669
150	3
57678	324
6975	0
51703	850
64429	878
143187	291
6934	382
3026	0
4892	0
840	193
79949	3
9937	224
374354	280
153	5
55088	303
56165	0
340706	0
84632	1
3983	1498
57700	671
142940	553
26033	371
2674	3207
374355	0
119548	84
5406	0
5407	2
5408	0
143379	0
259217	125
387712	19
57698	985
11023	2
338567	0
6571	118
118987	786
2018	0
22841	370
63877	305
2834	1
143384	961
340719	173
8661	6230
404636	598
119559	310
10935	3910
2869	102
6001	442
7073	1313
9531	2014
22876	400
79892	1400
11196	1267
6144	275
196051	1516
55717	1424
2263	0
11101	475
54780	290
10579	215
118663	2
59338	368
387715	0
5654	1635
1755	1
399814	0
50624	44
196792	61
118670	1
80007	207
118672	85
64376	260
36	478
340784	0
3167	0
9184	2778
2849	0
119587	0
51363	11
4942	1402
390010	0
64077	323
9679	421
399818	252
23172	447
54764	804
1488	1543
387718	0
26098	409
118856	0
7390	890
56647	980
55760	755
92565	57
8038	1020
118611	14
1793	1081
642938	1
594857	0
399823	0
119467	4
5791	903
4288	4040
4255	318
253738	0
10539	1561
256536	4
55844	586
664	3484
282973	6
10570	235
282974	69
80313	151
170394	132
170393	0
3632	246
84504	0
54777	56
84435	0
85442	1
8433	0
27287	0
101	7
10844	1486
118472	297
50632	0
